Id,Sura,Aya,Text,Comment,DetailComment
1,1,1,Яхшилиги чексиз [1*] ва меҳрибон Аллоҳ номидан [2*]. ,"<p>
	[1*] Чексиз марҳаматли, буюк фазл эгаси, жуда ҳам кечиримли ва меҳрибон Роббим &ndash; Аллоҳга олқишу мақтовлар бўлсин. Мендек ожиз бандаси &ndash; Баҳром Бакиров Суннатуллоҳга Ўзининг муборак ва нурли каломи бўлган Қуръони Каримни таржима қилиш ва оятларни оятлар билан изоҳлаш услубида тафсир/изоҳ ёзиш имкониятини бергани учун меҳрибон ва ҳикматли Роббимга олқишу мақтовлар бўлсин. Ушбу рисолатни бизга олиб келиб, унга амал қилишда бизга энг гўзал ўрнак бўлган, Маккалик, элчи-пайғамбар, жаноб Муҳаммадга дуо-и саломлар йўллайман. Пок ва Қуддус бўлган Роббимдан менга бундан кейин ҳам каломига холис ва самимий ҳолда хизмат қилишимни насиб этишини, шукрини адо этувчи бандалари қаторига қўшини Ўзидан ўтиниб сўраб қоламан. Ўзининг муборак ва нурли китобини тўғри тушунишимни, унга амал қилишимни ва бошқаларга ҳам &ndash; ундаги ҳақ ва ҳақиқатларни яширмасдан, тўлиқ тушунтириб етказишимни насиб қилишини ёлвориб сўраб қоламан. Ўзига суяниб-таянаман/таваккал қиламан. Ўзидан ёрдам сўраган ва фақат Ўзидан ажру мукофот умид қилган ҳолда Китобини таржима ва тафсир қилишга киришаман. Бу ишларнинг барчаси Аллоҳнинг ёрдами билан бўлди. Мақсадим, Қуръонни имкониятим даражасида содда, тушунарли ва очиқ ҳолда таржима ва тафсир қилиш ва бунинг оқибатида мусулмонларни Аллоҳнинг каломи билан ўз она тилида яқиндан танишиб, у билан ҳамнафас бўлиб, унга амал қилиб яшашларига оз бўлсада ҳисса қўшишдир.</p>
<p>
	Қуръонни ўрганишга киришдан аввал, нозил бўлиши сабабларини ўрганиб чиқамиз.<br />
	1. Қуръон бутун инсониятни огоҳлантирсин (Анъом 6:96).<br />
	2. Қуръон инсонлар орасида ҳоким бўлсин (Нисо 4:105).<br />
	3. Қуръонга бутун инсоният амал қилиб эргашсин (Анъом 6:155).<br />
	4. Қуръон инсониятни зулматлрдан нурга, муаммолардан фаровонликка олиб чиқсин (Иброҳим 14:1).<br />
	5. Қуръон инсонларни масъулиятли бўлишга, ёмонликлардан тийилишга сабабчи бўлсин (Тоҳа 20:113).<br />
	6. Қуръон инсониятга эслатма/насиҳат бўлсин (Нур 24:1).<br />
	7. Қуръон оятлари тадаббур қилинсин, изланишлар олиб борилсин (Сод 38:29).<br />
	8. Қуръон орқали инсоният адолат билан ҳаёт кечирсин (Ҳадид 57:25). 8. Қуръон &ndash; унга ишониб амал қиладиган инсонларга ҳидоят ва раҳмат бўлсин (Наҳл 16:64).<br />
	Фотиҳа сураси инсонни Аллоҳга берган илк аҳди ҳисобланади. Чунки, бу сурада бутун мавжудотни яратувчиси Аллоҳ экани, инсонлар дуо-ю ибодатни ва қуллик хизматини фақатгина Унга қилиши кераклиги, бу яшаб турган ҳаётимиз ортидан яна янги ҳаёт пайдо қилиши ва у кунда ҳар ким қилган ишининг мукофоти ёки жазосини олиши, у кунда ҳукмни фақат Аллоҳ бериши, Илоҳий ёрдам фақат Ундан сўралиши, тўғри йўл фақат У кўрсатган йўл экани, у йўлда юрмаганлар адашган ва Аллоҳнинг ғазабига гирифтор бўлган, деб ҳисобланиши айтиб ўтилган. Ушбу сурани онгли равишда тафаккур билан тушуниб ўқиган инсон ўша нарсаларни эътироф қилган ва Аллоҳга сўз берган бўлади. Бу сурадаги аҳду вафо ва ҳукмларни мусулмон киши асло унутмаслиги ва ўша аҳдга вафо қилган ҳолда ҳаёт кечириши керак. Акс ҳолда, Аллоҳга берган аҳди ва имонини арзимас дунё ва ундаги ўткинчи манфаатлар эвазига алмашган, бунинг оқибатида қиёмат куни унга ҳеч қандай савобдан насиба бўлмайдиган, Аллоҳ уни оқламайдиган &ndash; бадбахт инсонга айланиб қолиши ҳеч гап эмас (Оли Имрон 3:77). Аллоҳ ушбу аҳдга қатъий риоя қилишни биздан талаб қилган ва таъкидлаб қайта-қайта эслатиб ўтган (Анъом 6:152), (Наҳл 16:91- 95).<br />
	Энди, умумий Қуръон оятларига келсак, оятлар муҳкам ва муташобеҳ бўлиб иккига бўлинади. Муҳкам &ndash; ҳукм ифодаловчи оятлар, муташобеҳ &ndash; ҳукман ва маънан унга ўхшаш бўлади, шу билан биргаликда муҳкам оятларни батафсил очиқлаб берувчи оятлар ҳисобланади (Ҳижр 15:87), (Зумар 39:23). Қуръон оятларининг ҳар бири орасида энг камида иккиталик алоқа бор. Қуръонни кириш қисми бўлган Фотиҳа сураси масоний-иккиталик бўлиб келиши &ndash; фотиҳа сураси барча Қуръон оятларининг ўзаги ва мағзи эканини билдиради. Қуръоннинг бошқа сура ва оятлари мана шу Фотиҳа сурасининг имон ва амал масаласидаги тафсири ва баёни ҳисобланади. Севимли пайғамбаримиз Муҳаммад алайҳиссалом: &laquo;Сизларнинг энг яхшиларингиз Қуръонни ўрганган ва уни ўргатганингиздир&raquo; дедилар (Бухорий ривояти). Аллоҳдан ушбу муборак китобни ўрганишни, ўргатишни, унга аввало ўзимиз амал қилиб, шу ҳадисга асосан умматнинг энг яхшиси бўлиб қолишни сўраб қоламиз.</p>
<p>
	Расулуллоҳга (с.а.в.) илк ваҳий (Алақ 96:1) &laquo;Яратган Роббинг номидан ўқи&raquo;, деб бошланган. Бу эса, келаётган ваҳийлар Аллоҳдан эканини кўрсатади. (Наҳл 16:98) оятида &laquo;Қуръон ўқиганингда қувилган шайтондан Аллоҳга сиғиниб паноҳ сўра&raquo;, деб буюргани. Шу боис, Қуръон ўқишдан аввал &laquo;Аъувзу&raquo; айтилади ва ўқиладиган Қуръон оятлари Аллоҳ тарафидан келган эканини, ўқиладиган оятлар Аллоҳ номидан эканини аввало ўқувчининг ўзи ҳис қилиши ва бошқаларга ҳам таъкидлаб эслатиши учун &laquo;бисмиллоҳ&raquo; билан бошланади. Демак, аъувзу ва &laquo;бисмиллоҳни&raquo; айтган кишида шундай тушунча ва ният бўлиши керак: Қуръон ўқиётганимда Аллоҳнинг Ўзидан ёрдам сўрайман, Унга суяниб таянаман, Қуръон Аллоҳдан келган рисолат, у менинг шахсий фикрим ёки менинг сўзларим эмас, ўқишдан мақсадим уни тушуниб, унга амал қилиш орқали Аллоҳнинг ризосига эришишдир. Мен бу ишни Аллоҳнинг амрига кўра бажаряпман, Унинг розилиги учун қиляпман, Ундан ёрдам ва муваффақият сўрайман, Унга суяниб-таянаман ва натижасини мен учун хайрли қилишини сўрайман. [1*] Раҳмон &ndash; Аллоҳнинг раҳмати ҳар нарсани қамраб олган, ҳар нарсага етиб ошган, ҳар нарса ва ҳар кимдан ортиб қолади, чексиз раҳмат эгаси, деган маъноларни билдиради. Аллоҳдан бошқаси бу исм ва сифатга лойиқ бўлмагани учун, бу калимага &quot;Яхшилиги чексиз&quot; деб маъно бердик.</p>
<p>
	&nbsp;</p>
",
2,1,2,Борлиқларнинг Эгаси[1*] Аллоҳга олқишу мақтовлар[2*] бўлсин!,"<p>
	[1*]&nbsp;&nbsp; &laquo;Рабб &ndash; эга/хожа дегани (Имом Наҳҳос, Маъонил-Қуръон). Араб тилида бу калима баъзан инсонлар учун ҳам ишлатилади (Юнус 12:50). Аллоҳга нисбатан ишлатилганида &quot;Яратган Эга&quot; &quot;Эга&quot;, &quot;Хожа&quot; деб таржима қилинса ҳам бўлади. Бир нарсанинг йўқдан бор қилиб яратган эгаси, унинг ҳақиқий эгаси ҳисобланади. Кўп оятларда Робб калимасидан кейин яратиш сифати келтирилади (Нисо 4:1), (Аъроф 7:45), (Юнус 10:3), (Алақ 96:1). Аллоҳ барча борлиқнинг эгасидир. Уни Ўзи яратди ва Ўзи эгалик қилиб бошқаради. Шу боис, кўп ўринларда &quot;Робб&quot; калимасига &quot;Эга&quot; деб маъно берилади.</p>
<p>
	[2*]&nbsp;Ҳамд &ndash; мукаммал даражада мақташ, афзаллик тарафлама чиройли таърифлашдир (Имом Насафий, Саолибий, ва Тантовий). Ўзбек тилида бунга олқиш дейилади. Осмонлар ва ердаги барча нарса Аллоҳга ҳамду сано/олқишу мақтов айтиб улуғлайди (Исро 17:44). Мўмин банда Аллоҳга кечасию кундузи, кун чиқишидан олдин ҳам кун ботишидан олдин ҳам ҳамду тасбеҳ/олқишу мақтов айтиб улуғлаши керак. Чунки бу ҳақида кўплаб оятларда эслатмалар берилган (Тоҳа 20:130), (Намл 27:59), (Намл 27:93), (Луқмон 31:25), (Ғофир 40:55). Инсон Илоҳий бир фазилатга эришганида ёки бирор бир ғам-андуҳдан қутулганида ҳам Аллоҳга ҳамду тасбеҳ айтиши керак (Мўминун 23:18), (Намл 27:15), (Фотир 35:34). Ҳатто уйқудан уйғонибла бошқа бир ишга киришмай туриб ҳам Аллоҳга ҳамду сано:олқишу мақтовлар айтиб Уни улуғлаши, Унинг Ўзига хос сифатларини айтиб зикр қилиб эслаши керак (Тур 52:48).</p>
<div>
	&nbsp;</div>
",
3,1,3,(У) Яхшилиги чексиз ва меҳрибондир.,,
4,1,4,Мукофот/жазо кунининг ҳукмронидир[*].,"<p>
	[*]&nbsp;Сарҳисоб куни &ndash; ҳеч кимни бошқа бирига фойдаси тегмайдиган, ишлар фақат Аллоҳга ҳавола бўладиган кундир (Инфитор 82:17, 19). Дунёда қилинган ишларнинг барчаси охиратда ҳисоб-китоб қилинади ва қилинган ишларга муносиб жазо ёки мукофот берилади (Нур 24:25), (Зориёт 51:6), (Инфитор 82:17, 19). Ҳар ким қилган яхшилиги (қабул бўлган бўлса) ёки ёмонлиги учун (кечирилмаган бўлса) албатта қиёматда жазо ёки мукофотини олади. Шу боис қиёматга ҳисоб-китоб ёки мукофот/жазо куни деб айтилади.&nbsp;</p>
",
5,1,5,"(Аллоҳим!) Ўзингагина қуллик қиламиз [1*], Ўзингдангина ёрдам сўраймиз [2*].","<p>
	[1*] Ибодат &ndash; бош эгиб итоат қилишдир (Абдулқоҳир Журжоний, Имом Наҳҳос, Имом Зажжож), бош эгиб буюрилган ишни қилишдир (Фахруддин ар-Розий). Буни ўзбек тилида сўзсиз итоат қилиш дейилади. Мана шу оятга амал қилган инсон ўзини Аллоҳнинг бандаси эканини сўз ва амал билан тасдиқлаган бўлади. Амалсиз қуруқ гап билан ибодат бўлмайди. Аллоҳдан бошқа ҳеч кимни айтгани сўзсиз ва шартсиз амалга оширилмайди. Акс ҳолда, Аллоҳдан бошқасига қуллик бошланади.</p>
<p>
	[2*] Бу оятда келтирилган ёрдам сўраш &ndash; Аллоҳдангина сўраладиган маънавий ёрдамларга ишорат қилади. Масалан: Қилган ибодат ва дуоларни қабул бўлиши, қалбимиздаги нифоқ, риёкорлик, ишончсизлик каби маънавий касалликлардан паноҳ сўраб, Ўзидан шифо тилаш ва шу каби Аллоҳдан бошқа ҳеч ким бажара олмайдиган нарсаларни Унинг Ўзидангина сўраймиз. Лекин, моддий ва жисмоний ёрдамларни бошқа инсонлардан ҳам сўраймиз. Масалан: Юкимни кўтаришиб юборинг ва шу каби жисмоний ёрдамлар албатта инсонлардан сўралади, лекин Аллоҳдан сўралмайди. Ҳар нарса Аллоҳнинг мулки эканини ҳамма билади. Лекин, Ундан тўғридан-тўғри ёрдам сўраладиган ўринларда, баъзи инсонлар Аллоҳ билан ўзларини орасига муқаддас ва муборак деб билган баъзи кишиларни восита сифатида қўйиб, ёрдамни ўша воситачилар орқали сўрашади. Бундай дуо қилиш &ndash; воситачиларни Аллоҳнинг даражасига олиб чиқиш дегани бўлиб қолади ва бу ҳам ширкни бир туридир. Бу оят Аллоҳдан мана шу шаклда, яъни орага бировни қўшмасдан, тўғридан-тўғри Аллоҳнинг Ўзидангина ёрдам сўраш кераклигини билдирмоқда. Бу оятдаги ёрдам инсонлардан эмас, балки Аллоҳдан сўраладиган ёрдам эканини қуйидаги оятлардан билиб оламиз. Чунки инсонларни бир-бирига ёрдамчи бўлишлари, ўзаро яхшилик қилишлари буюрилган. Алоқадор оятлар: (Моида 5:2), (Бақара 2:77), (Зарият 51:19), (Маориж 70:24,25).</p>
<p>
	&nbsp;</p>
",
6,1,6,Бизни тўғри йўлга сол![*].,"<p>
	[*] Тўғри йўлга муваффақ қилишни сўраш &ndash; тўғри йўлда бардавом қолишни сўраш ва ундаги зиёдаликни тилашни билдиради. Сироти-мустақим &ndash; Аллоҳнинг китобидир (яъни Ундаги диндир. Ибн Касир, Али р.а дан ривояти, Ибн Жарир Тобарий, Имом Аҳмад ва Термизий Али р.а. ривояти). Демак, тўғри йўл &ndash; Қуръонда кўрсатилган Ислом динидир, Расулуллоҳ бизга олиб келган тавҳид динидир. Қуръонни маҳкам ушлаган инсон албатта тўғри йўлда юради (Анъом 6:151-153), (Зухруф 43:43). Бу ҳақ йўлда мустаҳкам юриш учун эса Аллоҳнинг китобига амал қилиш керак, унинг учун китобни тушуниб ўқиш керак. Зеро, барча илоҳий китоблар инсонлар тушунсин деб нозил қилинган (Иброҳим 14:4).</p>
<p>
	&nbsp;</p>
",
7,1,7,Ғазаб(ин)га дучор бўлмай [1*] ва адашмай [2*] неъматингга эришган бандаларинг [3*] йўлига сол (Омин!)[4*],"<p>
	[1*] Аллоҳнинг ғазабига дучор бўлганлар &ndash; Аллоҳ уларан норози бўлган кишиалрдир. Ғазаб &ndash; аччиқланиш, ўзини боса олмай қизариб кетиш, ғазабдан томирлари бўртиб кетиш дегани. Бу сифат бу маънода Аллоҳга нисбатан ишлатилмайди, бироқ &laquo;норозилик&raquo; деб таржима ва талқин қилинади (Муфрадот).</p>
<p>
	Аллоҳ норози бўлган кимсалар:</p>
<div>
	Яҳудийлар (Бақара 2:61-90), (Оли Имрон 3:112), (Моида 5:60), (Аъроф 7:152).</div>
<div>
	Қасддан бир мўминни ўлдирганлар (Нисо 4:93)</div>
<div>
	Ҳаққа қарши оёқ тираб туриб олганлар (Аъроф 7:71)</div>
<div>
	Имон ва ватан ҳимояси йўлидаги жангдан қочганлар (Анфол 8:16)</div>
<div>
	Ислом динидан қайтган муртадлар (Наҳл 16:106)</div>
<div>
	Нонкўрлар (Тоҳа 20:81)</div>
<div>
	Аллоҳнинг дини хусусида (динга қарши) мунозара олиб борадиганлар/бу ишга бел боғлаганлар (Шўро 42:16)</div>
<div>
	Эрига туҳмат қилган аёл (Нур 24:9)</div>
<div>
	Мунофиқ эрлар ва мунофиқ аёллар (Фатҳ 48:60)</div>
<div>
	Мушрик эрлар ва мушрика аёллар (Фатҳ 48:6)&nbsp;</div>
<p>
	&nbsp;Аллоҳ бахт-неъмат берган кишилар &ndash; Пайғамбарлар, содиқлар,&nbsp; шаҳидлар ва яхши кишилардир (Нисо 4:69). Улар ҳам Ислом динига амал қилишган. Шунинг учун&nbsp;уларнинг йўллари ҳам тўғри йўл бўлган. Зеро, Аллоҳнинг дини ягона Исломдир (Оли имрон 3:19).</p>
<p>
	[2*] Аллоҳ кимларни адашган дейишини қуйидаги оятлардан билиб оламиз:</p>
<p>
	Аллоҳнинг оятларига нисбатан ёлғон муносабат билдирганлар (Мўминун 23:105,106).</p>
<p>
	Ишонганидан кейин имонини яширганлар (Моида 5:12).</p>
<p>
	Аллоҳнинг йўлидан тўсганлар/Аллоҳнинг йўлига қарши чиққанлар (Нисо 4:167).</p>
<p>
	Дин хусусида ҳаддан ошганлар (Моида 5:77).</p>
<p>
	Шубҳа-гумонга қараб иш тутадиганлар/гумонга эргашадиганлар (Анъом 6:116).</p>
<p>
	Дунё ҳаётини охират ҳаётидан афзал кўрганлар/дунё ишини охират ишидан биринчи ўринга қўйганлар (Иброҳим 14:3).</p>
<p>
	Аллоҳга ширк қўшганлар (Нисо 4:116).</p>
<p>
	Фосиқлар/йўлдан чиққанлар (Моида 5:108), (Анъом 6:77).</p>
<p>
	Аллоҳдан бошқасига дуо қилганлар/Аллоҳдан бошқасини ёрдамга чақирганлар (Аҳқоф 46:5).</p>
<p>
	Аллоҳни қўйиб шайтонларни валий қилиб олганлар (Аъроф 7:30).</p>
<p>
	Ҳақсизлик қилувчилар/золимлар (Марям 19:38).</p>
<p>
	Аллоҳ ва Расулига қарши бўлганлар (Аҳзоб 33:36).</p>
<p>
	Аллоҳнинг зикрига/оятларига нисбатан бағри тош бўлганлар (Зумар 39:22).</p>
<p>
	Аллоҳга ва Унинг оятларига чақирганларнинг даъватини қабул қилмаганлар (Аҳқоф 46:32).</p>
<p>
	Қиёмат қойим бўлиши ва у кундаги ҳисоб-китобга ишонмайдиган кимсалар (Шўро 42:18).</p>
<p>
	Мунофиқлар (Бақара 2:8-16).</p>
<p>
	Аллоҳ нозил қилган китобларни ва ундаги ҳукмларни яшириб беркитганлар (Бақара 2:174,175).</p>
<p>
	Кофирлар (Ҳаққа қарши чиққанлар) (Нисо 4:136).</p>
<p>
	Мушриклар (Нисо 4:116) (Иброҳим 14:30).</p>
<p>
	Дунёдаги мол-давлат ва зеб-зийнатга алданиб ҳақдан узоқлашиб кетганлар (Юнус 10:88)</p>
<p>
	Нафсининг орзуларига эргашиб кетганлар (Юсуф 12:30)</p>
<p>
	Аллоҳнинг китобидан узоқлашиб кетганлар (Тоҳа 20:52), (Луқмон 31:6).</p>
<p>
	Аллоҳнинг китобидан далил келтирмасдан, Аллоҳ ҳақида ва Аллоҳнинг ҳукмлари ҳақида гапириб юрадиганларга қўшилиб олганлар, эргашиб олганлар (Ҳаж 22:8,9)</p>
<p>
	Ёмон инсонларни ўзига дўст қилиб олганлар (Фурқон 25:28,29).</p>
<p>
	Ҳақ ва ҳақиқатни тан олмай уни ёлғонга чиқаришга уринганлар (Қалам 68:7,8).</p>
<p>
	[3*] Аллоҳ бахт-неъмат берган кишилар &ndash; пайғамбарлар, содиқлар,&nbsp; шаҳидлар ва яхши кишилардир (Нисо 4:69). Улар ҳам Ислом динига амал қилишган. Шунинг учун уларнинг йўллари ҳам тўғри йўл бўлган. Зеро, Аллоҳнинг дини ягона Исломдир (Оли Имрон 3:19).&nbsp;</p>
<p>
	[4*] Амин &ndash; &quot;Аллоҳим қабул қил&quot; дегани, бу сўз ғайридинларда ҳам ибодат ва дуолар сўнгида айтиладиган сўздир (Лисанул Араб). Бу калима Қуръонда келтирилмаган. Муҳаммад алайҳиссалом намозда Фотиҳа сурасини орқасидан ўзи ҳам айтгани ҳамда жамоатдан ҳам айтишни истагани ривоят қилинган (Бухорий, Тафсир 2, Муслим, Солат 62,87).</p>
<p>
	&nbsp;</p>
",
8,2,1,Алиф! Лам! Мим![*],"<p>
	[*]&nbsp;<span style=""font-size: 8.33333px;"">&nbsp;</span>Бу ҳарфларга &quot;ҳуруфи муқаттоа&quot; ва &quot;ҳуруфут-танбеҳ&quot; дейилади. Қуръони Каримнинг бундан бошқа яна 28 та сураси мана шундай, яъни ўқувчи ва эшитувчининг диққатини ва фикрини жалб қилиш учун араб тилига хос бир қоида билан бошланган. Ҳуруфи муқаттоадан кейин асосан Қуръоннинг асл моҳияти, мазмуни ва ўзидаги усул ва қоидаларни, Қуръоннинг нозил бўлишидаги мақсади ва Пайғамбар алайҳиссаломнинг Қуръонга нисбатан юклатилган вазифаси ҳақида баён қилиб берувчи оятлар келган. Бу ҳарфларда турли илоҳий сирлар яширилмаган.&nbsp;</p>
",
9,2,2,"Бу китобда ҳеч қандай шубҳа йўқ,[1*] тақводорлар (ёмонликдан тийилувчилар/масъулиятлилар) учун[2*] кўрсатма-қўлланмадир.[3*]","<p>
	[1*] Қуръон Аллоҳдан келганида, У Муҳаммад алайҳиссаломга нозил бўлганида, мўжизавий ва мислсиз китоб эканида, қиёматгача Аллоҳ тарафидан муҳофаза қилинишида, ундаги ҳукмларда, тарих ва келажакдан хабар берувчи маълумотларда умуман шубҳа йўқ.&nbsp;</p>
<p>
	[2*] Тақво асосан қуйидаги 5 маънони билдиради:</p>
<p>
	Қўрқиш, хато ва ножўя ишлардан сақланиш/ўзлигини сақлаб қолиш, тийилиш, масъулиятли ёндашиш/жавобгарликни ҳис қилиш. Шу боис, тақво калимасига маъно оқишига қараб турли маъно берилади.</p>
<p>
	[3*] Ҳидоят ўз ўрнида Аллоҳга, баъзан пайғамбарларга ва баъзан пайғамбарларнинг ворисларига нисбатан ҳам ишлатилади. Аллоҳнинг ҳидоят қилиши 4 (тўрт) хил бўлади:</p>
<p>
	1)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Аллоҳ Ўзининг борлигини, бирлигини ва инсонга ҳар нарсадан яқин эканини ҳар томонлама кўрсатиб-билдириб қўяди. Мана шу сабабли Аллоҳ таолонинг иккинчи ўринга қўйиб, ундан бошқа нарсаларни биринчи ўринга қўйишни ширк деб билдиради ва бу гуноҳни кечирмайди (Нисо 4:48). Аллоҳ таоло нотўғри йўлга кириб қолганлар ва хатога қўл урганлар бандаларининг қалб ва онгига бир шаклда сездириб огоҳлантириб қўяди (Шамс 91:8, 10), (Анъом 6:125).</p>
<p>
	2)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Яхшини ёмондан ажрата оладиган инсонларга раҳбарлик қилишидир. Бу ҳақидаги бир оят шундай: (Зарият 51:20, 21)</p>
<p>
	3)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Элчилари орқали китоб юбориб, у билан инсонларга йўл кўрсатишидир. Шу боис Пайғамбарларга юборилган ҳар бир китобга &laquo;ҳуда&raquo; яъни раҳбар ва қўлланма сифати берилади.</p>
<p>
	4)&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Тўғри йўлда юришни хоҳлаган кимсаларни Аллоҳ Ўз йўлига қабул қилиши ва уни тўғри йўлда эканини тасдиқлашидир (Иброҳим 14:4).</p>
<p>
	Аллоҳнинг элчилари ва уларнинг ворисларига нисбат бериладиган ҳидоятга (Қуръондаги йўлга) етаклаш, бошлаш, даъват қилиш, кўрсатиб қўйиш деб айтилади.</p>
<p>
	Қуръон тўғри йўл кўрсатувчи қўлланма бўлиши учун, мусулмонлар дину дунё ишларидаги муаммо ва ихтилофларига ечим излаш мақсадида Қуръонга самимий, шубҳа қилмаган ва қатъий ишонган ҳолда мурожаат қилишлари керак. Ана шундагина Қуръон самимий мусулмонни ҳаётидаги муаммоларига тўғри ечим чиқариб беради. Аллоҳ таоло бу ҳақда шундай марҳамат қилади:</p>
<p>
	&laquo;Албатта, бу Қуръон энг тўғри йўлга бошлайди&raquo; (Исро 17:9).&nbsp;</p>
<p>
	Демак, хоҳ у оилавий масалада бўлсин, хоҳ иқтисодий, хоҳ муомала-маданиятига боғлиқ бўлсин, Қуръонда кўрсатилган ҳар бир йўл энг тўғри йўлдир.</p>
",
10,2,3,"Улар (Қуръонда билдирилган) ғайбга[1*] ишонади,[2*] намозни/диний вазифаларини бажаради[3*] ва уларга ризқ қилиб берган нарсамиздан хайр-эҳсон қилади.","<p>
	[1*] Ғайбга ишониш деганда шу учта маъно тушунилади:</p>
<p>
	Аллоҳни кўрмаса ҳам, Унинг табиатда яратган ва Қуръондаги нозил қилган белги-аломатларини ўқиб, уқиб ва ақл юритиб ишониш (Қоф 50:33, 56), (Ясин 36:11), (Фатир 35:18). Аллоҳни Қуръонда билдирган ғайб хабарларига ишониш: (Оли Имрон 3:44), (Ҳуд 11:49), (Юсуф 12:102). Булар орасига ўтмишдаги бизга маълум бўлмаган тарихий воқеалар, охиратда бўладиган воқеалар, жаннат ва жаҳаннам каби хабарлардир. Инсонлардан ҳоли жойда бўлган вақтда ҳам, уни ҳеч ким кўрмаган ҳолатда ҳам Аллоҳга бўлган имон-эътиқодида содиқ қолади ва ўша эътиқоди асосида ҳаракат қилади, Аллоҳга бўлган имон-эътиқодига хиёнат қилмайди.</p>
<div>
	[2*]&nbsp; Имон &ndash; тасдиқ, иқрор, ишончдир. Қуръонга тўлиқ ишонган ва ундаги мўминнник сифатларига эга инсонларга комил мўмин дейилади. Баъзи бир муфассирларга кўра имон &ndash; 3 та нарсанинг исмидир:&nbsp;</div>
<div>
	&nbsp;</div>
<div>
	1. Бир нарсани билиш,</div>
<div>
	&nbsp;</div>
<div>
	2. Ўша билган нарсасига ишониш</div>
<div>
	&nbsp;</div>
<div>
	3. Ўша ишонган нарсасига амал қилиш имон дейилади.&nbsp;</div>
<div>
	&nbsp;</div>
<div>
	Гоҳида имон калимаси бу учаласининг ҳар бири учун ҳам ишлатилади. Имоннинг паст-баланд мартабалари бўлади. Унинг энг юксак мартабаси мужассам бўлган инсонлар ушбу оятларда баён қилинган: &ldquo;Чин мўминлар &ndash; Аллоҳ ёд этилганида юраклари титраган, уларга Унинг оятлари тиловат қилиб берилганида имон-ишончи ортган ва Яратган Эгасига суяниб-таянадиганлардир&rdquo; (Анфол 8:2), (Тавба 9:24), (Мужодала 58:22)</div>
<div>
	&nbsp;</div>
<div>
	[3*]&nbsp;&nbsp;&nbsp; Оятда келтирилган &quot;солат&quot; калимаси дуо, истиғфор, кўмак, даъват, кундалик намоз, дин, ибодат, диний вазифа, бурч, каби фарқли маънолар англатади. Шу боис, оятлардаги &quot;солат/солават&quot; калималарига жумладаги маъно оқишига қараб ҳамда араб тили адабиётидаги балоғат ва фасоҳат илмининг етакчиларинг қарашлари асосида турли маънолар бердик. Чунки, солат калимаси баъзи оятларда айнан кундалик беш вақт намоз ҳақида келган бўлса, яна бошқа оятларда бошқа маъно ва фарқли ҳукмлар ифодалаб келган. Биз шунга асосан маъно бердик. Намоз &ndash; шахсий, яъни Аллоҳ билан бандани ўртасидаги энг фазилатли амалдир. бундан ташқари бандани банда ўртасидаги &mdash; оилавий ва ижтимоий масалаларда ҳам диний вазифалари бор. Масалан, адолат, тенглик, эркинлик, яхшиликка кўмак бериб ёмонликка қарши чиқиш, ўзаро яхшилик , масъулиятлилик ва шу каби инсоний гўзал фазилатларга риоя қилиб яшашдир. Бундан маълум бўладики, Аллоҳ билан ўзининг ўртасидаги битта ибодат бўлмиш намозни адо этиш билан қолган оилавий, ижтимоий ва глобал масалалардаги риоя қилиши, бажариши буюрилган буйруқлар ҳамда сақланиши керак бўлган тақиқларга ҳам намозга муҳаббат ва ихлос қилгани каби ихлос қилиши ва имкон қадар Исломга тўлалигича амал қилиши керак бўлади. Салот калимаси кундалик бажариладиган намозга алоқадор ҳолда қуйидаги оятларда келган: (Бақара 2:238,239), (Нисо 4:101-103), (Исро 17:78), (Ҳуд 11:114), (Тоҳа 20:14), (Жума 62:9,10), (Маориж 70:23-34). Ундан ташқари Роббимиз Ўзини кўп-кўп зикр қилишга, улуғлаб шарафлашга (Аҳзоб 33:41), Улуғ ва Олий исмини поклаб ёд этишга (Аъло 87:1), (Воқеа 56:74-86), (Ҳаққо 69:52) буюрган. Кундалик намоз ўқиш мобайнида мусулмонлар аллоҳни улуғлаб шарафлайди, Унга таъзим қилиб бош эгади, Унга тасбеҳ айтади, Унга бўлган имонларини янгилаб имонларини зиёдалиги ва ихлосу муҳаббати ортишига эришади, ҳам озига ҳамда қолган мўминлар учун Аллоҳга дуо-илтижолар қилади, Қуръон оятларидан тиловат қилади. Намоз мана шундай кўплаб зикру тасбеҳлар, дуою илтижолар, Қуръон тиловати, Аллоҳга таъзим қилиб бош эгиш ва Уни улуғлаб шарафлаш каби кўплаб яхшиликларга мужассам бўлган фазилатли ибодатдир. Расулуллоҳ бизга диний вазифаларни бажаришга гўзал ўрнак бўлгани учун (Аҳзоб 33:21) у киши юқоридаги оятларда асосланган ҳолда кундалик намозларини қандай адо этган бўлса, у кишига эргашган уммат сифатида (Исро 17:47), (Аъроф 7:158) биз ҳам айнан шу шаклда намоз ўқиймиз. Зеро, намоз &ndash; асрлар оша бизгача ҳам назарий ҳам амалий давом этиб келган амалдир.&nbsp;</div>
",
